mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Hedenbergite,Ca Fe Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.8357,9.0078,5.2408,104.664,449.2,,,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Augite,(Ca1.00Fe1.00)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.84,9.024,5.2495,104.68,450.8,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,50"
Hedenbergite,(CaFe)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.866,9.025,5.225,104.69,450.04,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 145
Hedenbergite,(CaFe)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.857,9.026,5.227,104.7,449.81,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 187
Hedenbergite,(CaFe)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.85,9.028,5.23,104.75,449.69,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 169
Hedenbergite,(CaFe)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.847,9.024,5.242,104.77,450.36,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 240
Hedenbergite,(CaFe)Si2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.852,9.025,5.247,104.77,451.16,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 217
Hedenbergite,Ca Fe Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.845,9.0293,5.245,104.775,450.83,,298 K,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Hedenbergite,(Na.1 Ca.9) Fe Si2 O6,0,0,0.9,0,0,0,0,0,0.1,0,6,0,2,0,0.9,0.1,0,0,0,10,9.8472,9.0288,5.2466,104.789,451.014,,,monoclinic,C2/c,European Journal of Mineralogy 12 (2000) 105-120,
Hedenbergite,Ca Fe Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.8672,9.0469,5.2584,104.794,453.844,,,monoclinic,C2/c,Physics and Chemistry of Minerals 32 (2005) 552-563,
Hedenbergite,Ca Fe Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.8389,9.0214,5.2424,104.797,449.887,0.0 GPa,,monoclinic,C2/c,American Mineralogist 82 (1997) 245-258,
Hedenbergite,CaFeSi2O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,10,9.841,9.027,5.247,104.8,450.69,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Hd100
Hedenbergite,(Na.06 Ca.94) Fe Si2 O6,0,0,0.94,0,0,0,0,0,0.06,0,6,0,2,0,0.94,0.06,0,0,0,10,9.8475,9.0277,5.2495,104.805,451.189,,,monoclinic,C2/c,European Journal of Mineralogy 12 (2000) 105-120,
Hedenbergite,Ca.99 Fe1.01 Si2 O6,0,0,0.99,0,0,0,0,0,0,0,6,0,2,0,1.01,0,0,0,0,10,9.8447,9.0234,5.2509,104.862,450.847,,,monoclinic,C2/c,American Mineralogist 92 (2007) 1492-1501,Locality: synthetic
Hedenbergite,CaFe0.8871Mg0.1129Si2O6,0,0,1,0,0,0,0.113,0,0,0,6,0,2,0,0.887,0,0,0,0,10,9.832,9.018,5.247,104.88,449.61,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di11.29Hd88.71
Hedenbergite,(Ca1.00Fe0.85Mg0.15)Si2O6,0,0,1,0,0,0,0.15,0,0,0,6,0,2,0,0.85,0,0,0,0,10,9.836,9.014,5.248,104.92,449.6,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 85,50"
Hedenbergite,(CaFe0.85Mg0.15)Si2O6,0,0,1,0,0,0,0.15,0,0,0,6,0,2,0,0.85,0,0,0,0,10,9.834,9.01,5.247,104.96,449.15,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 238
Hedenbergite,(Ca1.00Fe0.75Mg0.25)Si2O6,0,0,1,0,0,0,0.25,0,0,0,6,0,2,0,0.75,0,0,0,0,10,9.821,9.002,5.251,104.98,448.4,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 75,50"
Hedenbergite,CaFe0.7774Mg0.2226Si2O6,0,0,1,0,0,0,0.223,0,0,0,6,0,2,0,0.777,0,0,0,0,10,9.826,9.012,5.251,105.01,449.2,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di22.26Hd77.74
