mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Tissintite,0.24,1.17,0,0.45,0,0,0.03,0,0,0,0,0.01,0,0,0.31,0,6,0,1.8,0,0,0,0,10.01,9.21,9.09,5.2,109.6,410,Earth and Planetary Science Letters 422 (2015) 194-205
Jervisite,0.12,0,0,0.31,0,0,0.29,0,0,0,0,0.19,0,0,0.43,0,6,0.66,2,0,0,0,0,10,9.853,9.042,5.312,106.617,453.486,American Mineralogist 67 (1982) 599-603
Omphacite,0.065,0.801,0,0.286,0.002,0,0.07,0,0,0.003,0,0.205,0.001,0,0.601,0,6,0,1.957,0.009,0,0,0,10,9.501,8.654,5.238,107.23,411.35,American Mineralogist 71 (1986) 1434-1440
Diopside,0.059,0.516,0,0.469,0.003,0,0.075,0,0,0.003,0,0.465,0.001,0,0.404,0,6,0,1.997,0.008,0,0,0,10,9.561,8.73,5.249,107,418.977,American Mineralogist 76 (1991) 1141-1152
Diopside,0.025,0.288,0,0.644,0.001,0,0.124,0,0,0,0,0.649,0.001,0,0.264,0,6,0,2.017,0.004,0,0,0,10.02,9.654,8.831,5.255,106.52,429.519,American Mineralogist 76 (1991) 1141-1152
Diopside,0.017,0.315,0,0.545,0.005,0,0.145,0,0,0.004,0,0.652,0.003,0,0.303,0,6,0,1.999,0.012,0,0,0,10,9.628,8.808,5.254,106.88,426.36,American Mineralogist 76 (1991) 1141-1152
Diopside,0.01,0.271,0,0.516,0.003,0,0.244,0,0,0.005,0,0.661,0.014,0,0.27,0,6,0,2.008,0.006,0,0,0,10.01,9.644,8.82,5.256,107.04,427.449,American Mineralogist 76 (1991) 1141-1152
Johannsenite,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,10,9.978,9.156,5.293,105.48,466.019,American Mineralogist 52 (1967) 709-720
Johannsenite,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,10,9.9227,9.1416,5.2745,105.108,461.98,American Mineralogist 95 (2010) 832-838
Davisite,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,10,9.884,8.988,5.446,105.86,465.391,"Journal of the Japanese Association of Mineralogists, Petrologists and Economic Geologists 73 (1978)"
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.8672,9.0469,5.2584,104.794,453.844,Physics and Chemistry of Minerals 32 (2005) 552-563
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.866,9.025,5.225,104.69,450.04,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.789,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0.211,10,9.8605,9.0304,5.269,105.138,452.894,Physics and Chemistry of Minerals 32 (2005) 552-563
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.857,9.026,5.227,104.7,449.81,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.852,9.025,5.247,104.77,451.16,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.835,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0.165,10,9.8502,9.0294,5.2584,105.052,451.643,Physics and Chemistry of Minerals 32 (2005) 552-563
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.85,9.028,5.23,104.75,449.69,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,0.94,0,0,0.94,0.06,0,0,0,0,0,0,0.06,0,6,0,2,0,0,0,0,10,9.8475,9.0277,5.2495,104.805,451.189,European Journal of Mineralogy 12 (2000) 105-120
Hedenbergite,0,0,0,0.9,0,0,0.9,0.1,0,0,0,0,0,0,0.1,0,6,0,2,0,0,0,0,10,9.8472,9.0288,5.2466,104.789,451.014,European Journal of Mineralogy 12 (2000) 105-120
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.847,9.024,5.242,104.77,450.36,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.845,9.024,5.245,104.74,450.638,American Mineralogist 58 (1973) 594-618
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.845,9.0293,5.245,104.775,450.83,American Mineralogist 91 (2006) 1271-1292
Hedenbergite,0,0,0,0.99,0,0,1.01,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.8447,9.0234,5.2509,104.862,450.847,American Mineralogist 92 (2007) 1492-1501
Jadeite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.8447,9.0234,5.2509,104.862,450.847,American Mineralogist 93 (2008) 1005-1013
Hedenbergite,0,0,0,1,0,0,0.504,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0.496,10,9.8447,9.0175,5.2614,105.342,450.434,Physics and Chemistry of Minerals 32 (2005) 552-563
Jervisite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,0,0,0,0,10,9.8438,9.0439,5.354,107.215,455.294,Acta Crystallographica B29 (1973) 2615-2616
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.841,9.027,5.247,104.8,450.69,Mineralogical Magazine 37 (1969) 216-229
Augite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.84,9.024,5.2495,104.68,450.8,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.8389,9.0214,5.2424,104.797,449.887,American Mineralogist 82 (1997) 245-258
Hedenbergite,0,0,0,1,0,0,0.413,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0.587,10,9.8369,9.0043,5.2605,105.435,449.14,Physics and Chemistry of Minerals 32 (2005) 552-563
Hedenbergite,0,0,0,1,0,0,0.85,0,0,0,0,0.15,0,0,0,0,6,0,2,0,0,0,0,10,9.836,9.014,5.248,104.92,449.6,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,0.949,0,0,0.949,0.051,0,0,0,0,0,0,0.051,0,6,0,2,0,0,0,0,10,9.8354,9.0108,5.256,105.088,449.754,American Mineralogist 91 (2006) 1271-1292
Hedenbergite,0,0,0,1,0,0,0.85,0,0,0,0,0.15,0,0,0,0,6,0,2,0,0,0,0,10,9.834,9.01,5.247,104.96,449.15,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.8,0,0,0,0,0.2,0,0,0,0,6,0,2,0,0,0,0,10,9.832,9.002,5.251,105.02,448.6,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,0.887,0,0,0,0,0.113,0,0,0,0,6,0,2,0,0,0,0,10,9.832,9.018,5.247,104.88,449.61,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.893,0,0,0.893,0.107,0,0,0,0,0,0,0.107,0,6,0,2,0,0,0,0,10,9.828,8.997,5.258,105.07,448.96,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,1,0,0,0.777,0,0,0,0,0.223,0,0,0,0,6,0,2,0,0,0,0,10,9.826,9.012,5.251,105.01,449.2,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.904,0,0,0.904,0.096,0,0,0,0,0,0,0.096,0,6,0,2,0,0,0,0,10,9.8248,8.9973,5.2549,105.013,448.66,American Mineralogist 91 (2006) 1271-1292
Petedunnite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,10,9.8243,8.9939,5.2608,105.794,447.289,Physics and Chemistry of Minerals 32 (2005) 552-563
Hedenbergite,0,0,0,1,0,0,0.75,0,0,0,0,0.25,0,0,0,0,6,0,2,0,0,0,0,10,9.821,9.002,5.251,104.98,448.4,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,0.7,0,0,0,0,0.3,0,0,0,0,6,0,2,0,0,0,0,10,9.821,8.992,5.251,105.18,447.6,American Mineralogist 58 (1973) 50-59
Augite,0,0,0,0.8,0,0,1.2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.821,9.042,5.242,105.38,448.8,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,0.671,0,0,0,0,0.329,0,0,0,0,6,0,2,0,0,0,0,10,9.821,8.994,5.247,105.13,447.39,Mineralogical Magazine 37 (1969) 216-229
Petedunnite,0,0.06,0,0.92,0,0,0.19,0.12,0,0,0,0.14,0.2,0,0.06,0,6,0,1.94,0,0,0,0.37,10,9.82,9,5.27,105.6,448,American Mineralogist 72 (1987) 157-166
Hedenbergite,0,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.819,9.056,5.242,105.61,448.931,American Mineralogist 98 (2013) 1227-1234
Hedenbergite,0,0,0,1,0,0,0.682,0,0,0,0,0.318,0,0,0,0,6,0,2,0,0,0,0,10,9.816,8.987,5.252,105.07,447.41,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.682,0,0,0,0,0.318,0,0,0,0,6,0,2,0,0,0,0,10,9.816,8.991,5.253,105.1,447.61,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,0.9,0,0,0.825,0,0,0,0,0.275,0,0,0,0,6,0,2,0,0,0,0,10,9.814,9.002,5.249,105.46,447,American Mineralogist 58 (1973) 50-59
