mineral,Al,Ca,Cr3+,Cr2+,Fe2+,Fe3+,K,Mg,Mn2+,Mn3+,Na,O,Si,Ti4+,sum,a,b,c,beta,V,reference
Omphacite,0.4425,0.5825,0,0,0.155,0,0,0.4025,0,0,0.4175,6,2,0,10,9.596,8.771,5.265,106.93,423.932,American Mineralogist 53 (1968) 840-868
Omphacite,0.542,0.49,0.0009,0,0.067,0.002,0.0002,0.448,0.0009,0,0.47,6,1.968,0.003,9.99,9.5613,8.7578,5.2543,106.953,420.85,American Mineralogist 97 (2012) 407-414
Omphacite,0.48,0.516,0,0,0.077,0.137,0,0.392,0,0,0.484,6,1.918,0.005,10.01,9.585,8.776,5.26,106.8,423.576,American Mineralogist 60 (1975) 634-641
Omphacite,0.286,0.606,0,0,0,0.011,0.004,0.628,0.035,0.041,0.34,6,2.033,0.003,9.99,9.578,8.772,5.253,106.89,422.31,Tschermaks Mineralogische und Petrographische Mitteilungen 26 (1979) 187-201
Omphacite,0.51,0.49,0,0,0,0.06,0,0.46,0,0,0.51,6,1.97,0,10,9.569,8.759,5.256,106.96,421.372,Mineralogical Magazine 64 (2000) 983-993
Kanoite,0,0,0,0,0,0,0,1.04,0.96,0,0,6,2,0,10,9.78,8.93,5.32,108.6,440.356,American Mineralogist 66 (1981) 127-141
Kanoite,0,0,0,0,0,0,0,1.156,0.844,0,0,6,2,0,10,9.7196,8.9172,5.2465,108.74,430.616,American Mineralogist 83 (1998) 1176-1181
Pigeonite,0,0.214,0,0,0.832,0,0,0.926,0.028,0,0,6,2,0,10,9.719,8.947,5.251,108.49,433.035,Physics and Chemistry of Minerals 29 (2002) 331-340
Pigeonite,0.032,0.196,0.002,0,0.828,0.016,0,0.92,0.026,0,0.004,6,1.97,0.01,10,9.7138,8.9404,5.2495,108.44,432.49,Mineralogy and Petrology 77 (2003) 161-176
Enstatite,0,0,0.071,0.54,0,0,0,1.425,0,0,0,6,1.964,0,10,9.713,8.91,5.238,109.41,427.547,American Mineralogist 74 (1989) 599-603
Clinoferrosilite,0,0,0,0,2,0,0,0,0,0,0,6,2,0,10,9.7075,9.0807,5.2347,108.46,437.7,American Mineralogist 79 (1994) 1032-1041
Pigeonite,0.034,0.192,0,0,0.73,0.01,0,1.036,0.016,0,0.004,6,1.968,0.012,10,9.7004,8.9227,5.2237,108.686,428.3,Mineralogy and Petrology 77 (2003) 161-176
Pigeonite,0,0,0,0,0.92,0,0,1.08,0,0,0,6,2,0,10,9.678,8.905,5.227,108.71,426.671,American Mineralogist 56 (1971) 888-908
Pigeonite,0.028,0.116,0.034,0,0.344,0,0,1.486,0.014,0,0.006,6,1.972,0.002,10,9.6746,8.8774,5.2156,108.561,424.64,Mineralogy and Petrology 77 (2003) 161-176
Pigeonite,0,0,0,0,0.78,0,0,1.22,0,0,0,6,2,0,10,9.6519,8.9075,5.2004,108.59,423.773,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoenstatite,0,0,0,0,0,0,0,2,0,0,0,6,2,0,10,9.62,8.825,5.188,71.67,418.095,Zeitschrift fur Kristallographie 114 (1960) 120-147
Clinoenstatite,0,0,0,0,0,0,0,2,0,0,0,6,2,0,10,9.606,8.8131,5.17,108.35,415.429,Physics and Chemistry of Minerals 10 (1984) 217-229
Pigeonite,0,0.5,0,0,1.5,0,0,0,0,0,0,6,2,0,10,9.781,9.072,5.232,106.3,445.6,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0.3,0,0,1.7,0,0,0,0,0,0,6,2,0,10,9.779,9.088,5.258,107.39,445.928,American Mineralogist 60 (1975) 423-434
Pigeonite,0,0.2,0,0,1.8,0,0,0,0,0,0,6,2,0,10,9.765,9.081,5.231,106.69,444.3,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0.2,0,0,1.8,0,0,0,0,0,0,6,2,0,10,9.745,9.083,5.225,107.3,441.5,American Mineralogist 58 (1973) 50-59
Pigeonite,0,0.2,0,0,1.53,0,0,0.27,0,0,0,6,2,0,10,9.74,9.046,5.259,108.2,440.2,American Mineralogist 58 (1973) 50-59
Pigeonite,0,0.2,0,0,1.35,0,0,0.45,0,0,0,6,2,0,10,9.732,9.015,5.258,108.38,437.7,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0.788,0,0,0,0,0,1.212,0,0,0,6,2,0,10,9.731,8.916,5.25,106.39,436.5,American Mineralogist 58 (1973) 50-59
Pigeonite,0,0.2,0,0,1.12,0,0,0.68,0,0,0,6,2,0,10,9.731,8.953,5.256,71.45,434.121,Zeitschrift fur Kristallographie 114 (1960) 120-147
Kanoite,0,0.07,0,0,0,0,0,1.131,0.799,0,0,6,2,0,10,9.725,8.876,5.263,108.53,430.745,European Journal of Mineralogy 8 (1996) 251-261
Clinoferrosilite,0,0.1,0,0,1.9,0,0,0,0,0,0,6,2,0,10,9.724,9.092,5.226,108.14,439.1,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0.686,0,0,0,0,0,1.314,0,0,0,6,2,0,10,9.723,8.908,5.25,106.78,435,American Mineralogist 58 (1973) 50-59
Pigeonite,0.033,0.192,0,0,0.854,0,0,0.911,0.027,0,0.003,6,1.97,0.01,10,9.716,8.948,5.25,108.49,432.867,European Journal of Mineralogy 15 (2003) 903-911
Clinoenstatite,0,0.584,0,0,0,0,0,1.416,0,0,0,6,2,0,10,9.714,8.903,5.25,107.27,433.8,American Mineralogist 58 (1973) 50-59
