mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Albite,0,1,0,0,0.026,0,0,0.141,0,0,0.856,8,0,3,0,0,13.023,8.2168,12.9166,7.127,92.754,116.357,90.239,676.721,triclinic,C1,American Mineralogist 67 (1982) 975-996
Albite,0,1,0,0,0.008,0,0,0.334,0,0,0.686,8,0,3,0,0,13.028,8.29,12.966,7.151,91.18,116.31,90.14,688.819,triclinic,C1,American Mineralogist 67 (1982) 975-996
Albite,0,1.47,0,0,0.48,0,0,0,0,0,0.52,8,0,2.53,0,0,13,8.179,12.88,7.112,93.44,116.21,90.23,670.583,triclinic,C1,American Mineralogist 71 (1986) 1399-1408
Albite,0,1.069,0,0,0.069,0,0,0.224,0,0,0.71,8,0,2.931,0,0,13.003,8.252,12.936,7.139,92.11,116.32,90.22,682.434,triclinic,C1,American Mineralogist 67 (1982) 975-996
Albite,0,1.179,0,0,0.179,0,0,0.005,0,0,0.816,8,0,2.821,0,0,13,8.155,12.834,7.13,93.88,116.45,89.07,666.509,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.28,0,0,0.28,0,0,0.008,0,0,0.712,8,0,2.72,0,0,13,8.163,12.853,7.124,93.71,116.36,89.38,668.188,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.179,0,0,0.179,0,0,0,0,0,0.821,8,0,2.821,0,0,13,8.154,12.823,7.139,94.06,116.5,88.59,666.322,triclinic,C1,Zeitschrift fur Kristallographie 133 (1971) 43-65
Albite,0,1.012,0,0,0.012,0,0,0.005,0,0,0.983,8,0,2.988,0,0,13,8.1535,12.8694,7.107,93.521,116.458,90.257,665.95,triclinic,C1,American Mineralogist 61 (1976) 1213-1225
Albite,0,1,0,0,0,0,0,0.2,0,0,0.8,8,0,3,0,0,13,8.144,12.989,7.16,92.1,116.56,90.21,676.846,triclinic,C1,American Mineralogist 63 (1978) 1264-1273
Albite,0,1,0,0,0,0,0,0.002,0,0,0.998,8,0,3,0,0,13,8.161,12.875,7.11,93.53,116.46,90.24,667.122,triclinic,C1,American Mineralogist 64 (1979) 409-423
Albite,0,1,0,0,0,0,0,0,0,0,1,8,0,3,0,0,13,8.137,12.785,7.1583,94.26,116.6,87.71,664.008,triclinic,C1,American Mineralogist 75 (1990) 135-140
Albite,0,1,0,0,0,0,0,0,0,0,1,8,0,3,0,0,13,8.1372,12.787,7.1574,94.245,116.605,87.809,664.037,triclinic,C1,American Mineralogist 79 (1994) 1042-1052
Albite,0,1.01,0,0,0.01,0,0,0.01,0,0,0.98,8,0,2.99,0,0,13,8.141,12.791,7.16,94.25,116.58,87.71,664.9,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.35,0,0,0.35,0,0,0.01,0,0,0.64,8,0,2.65,0,0,13,8.162,12.853,7.118,93.65,116.36,89.67,667.5,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.01,0,0,0.01,0,0,0.01,0,0,0.98,8,0,2.99,0,0,13,8.162,12.878,7.111,93.46,116.42,90.28,667.7,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.35,0,0,0.35,0,0,0.01,0,0,0.64,8,0,2.65,0,0,13,8.164,12.875,7.109,93.47,116.24,90.27,668.6,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.02,0,0,0.02,0,0,0,0,0,0.98,8,0,2.98,0,0,13,8.14588,12.7973,7.15775,94.2451,116.6,87.8,665.342,triclinic,C1,Journal of Applied Crystallography 33 (2000) 267-278
Albite,0,1.25,0,0,0.25,0,0,0,0,0,0.75,8,0,2.75,0,0,13,8.1605,12.8391,7.1288,93.833,116.44,89.124,667.2,triclinic,C1,Journal of Geophysical Research 121 (2016) 1-13
Albite,0,1.37,0,0,0.37,0,0,0,0,0,0.63,8,0,2.63,0,0,13,8.16577,12.85623,7.11418,93.622,116.278,89.679,668.123,triclinic,C1,Journal of Geophysical Research 121 (2016) 1-13
Albite,0,1.48,0,0,0.48,0,0,0,0,0,0.52,8,0,2.52,0,0,13,8.1744,12.8638,7.1102,93.525,116.236,89.915,669.1,triclinic,C1,Journal of Geophysical Research 121 (2016) 1-13
Albite,0,1,0,0,0,0,0,0,0,0,1,8,0,3,0,0,13,8.1366,12.7857,7.1582,94.253,116.605,87.756,663.98,triclinic,C1,Physics and Chemistry of Minerals 33 (2006) 256-265
Albite,0,1,0,0,0,0,0,0.01,0,0,0.99,8,0,3,0,0,13,8.1393,12.7844,7.1592,94.262,116.612,87.647,664.171,triclinic,,R040129
Albite,0,1,0,0,0,0,0,0,0,0,1,8,0,3,0,0,13,8.1409,12.789,7.1598,94.265,116.589,87.679,664.73,triclinic,,R050402
Albite,0,1.15,0,0,0.15,0,0,0.18,0,0,0.67,8,0,2.85,0,0,13,8.235,12.9316,7.1343,92.47,116.3,90.25,680.234,triclinic,,R060054
Albite,0,1.005,0,0,0.005,0,0,0.012,0,0,0.983,8,0,2.995,0,0,13,8.141,12.785,7.159,94.26,116.59,87.69,664.456,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1,0,0,0,0,0,0.003,0,0,0.997,8,0,3,0,0,13,8.141,12.786,7.159,94.25,116.59,87.69,664.516,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.017,0,0,0.017,0,0,0.006,0,0,0.977,8,0,2.983,0,0,13,8.139,12.785,7.158,94.2,116.61,87.76,664.139,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.13,0,0,0.13,0,0,0.005,0,0,0.865,8,0,2.87,0,0,13,8.149,12.804,7.142,94.07,116.52,88.45,665.094,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
