mineral,Ag,Al,Cu2+,Fe3+,H,K,N,Na,O,Pb,S6+,Zn,Sum,Charge,a,c,V,reference
Ammonioalunite,0,2.8,0,0,10.9,0,0.84,0,14.39,0,2,0,30.93,0,7.011,17.797,757.5,American Mineralogist 73 (1988) 145-152
Jarosite,0,0,0,3,6.141,0.953,0,0,14.047,0,2,0,26.141,0,7.30293,17.2043,794.624,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,3,6.429,0.857,0,0,14.143,0,2,0,26.429,0,7.307,17.1916,794.923,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,3,6.888,0.704,0,0,14.296,0,2,0,26.888,0,7.3112,17.1792,795.263,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,3,7.185,0.605,0,0,14.395,0,2,0,27.185,0,7.3207,17.1517,796.055,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,3,7.464,0.512,0,0,14.488,0,2,0,27.464,0,7.33009,17.1374,797.433,American Mineralogist 92 (2007) 1464-1473
Hydroniumjarosite,0,0,0,3,7.95,0.35,0,0,14.65,0,2,0,27.95,0,7.3373,17.103,797.399,American Mineralogist 92 (2007) 1464-1473
Hydroniumjarosite,0,0,0,3,8.4,0.2,0,0,14.8,0,2,0,28.4,0,7.3428,17.0316,795.261,American Mineralogist 92 (2007) 1464-1473
Hydroniumjarosite,0,0,0,3,8.694,0.102,0,0,14.898,0,2,0,28.694,0,7.3521,17.0108,796.303,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,2.99,8.943,0.019,0,0.019,14.981,0,2,0,28.952,-0.01,7.3478,17.028,796.176,American Mineralogist 92 (2007) 1464-1473
Hydroniumjarosite,0,0,0,3,9,0,0,0,15,0,2,0,29,0,7.3552,16.9945,796.211,American Mineralogist 92 (2007) 1464-1473
Jarosite,0,0,0,3,6,0.76,0,0.24,14,0,2,0,26,0,7.3045,17.0875,789.569,American Mineralogist 93 (2008) 853-862
Jarosite,0,0,0,3,6,0.6,0,0.4,14,0,2,0,26,0,7.3052,16.9706,784.318,American Mineralogist 93 (2008) 853-862
Jarosite,0,0,0,3,6,0.52,0,0.46,14,0,2,0,25.98,-0.02,7.3079,16.9028,781.762,American Mineralogist 93 (2008) 853-862
Natrojarosite,0,0,0,3,6,0.29,0,0.69,14,0,2,0,25.98,-0.02,7.3101,16.7658,775.892,American Mineralogist 93 (2008) 853-862
Natrojarosite,0,0,0,3,6,0.11,0,0.85,14,0,2,0,25.96,-0.04,7.3144,16.6491,771.399,American Mineralogist 93 (2008) 853-862
Hydroniumjarosite,0,0,0,3,6.51,0,0,0.49,14,0,2,0,26,0,7.33876,16.8105,784.073,American Mineralogist 93 (2008) 853-862
