mineral,Vac,Al,Ca,Co2+,Cr3+,Fe2+,Fe3+,H,Li,Mg,Mn2+,O,Si,Ti4+,sum,a,b,c,V,reference
Ferrosilite,0,0,0.04,0,0,1.71,0,0,0,0.25,0,6,2,0,10,18.405,9.0338,5.239,871.073,American Mineralogist 56 (1971) 850-876
Ferrosilite,0,0,0.08,0,0,1.92,0,0,0,0,0,6,2,0,10,18.473,9.076,5.242,878.9,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0.04,0,0,1.96,0,0,0,0,0,6,2,0,10,18.453,9.081,5.241,878.2,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,2,0,0,0,0,0,6,2,0,10,18.431,9.08,5.238,876.7,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0.1,0,0,1.43,0,0,0,0.48,0,6,2,0,10.01,18.417,9.03,5.233,870.2,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,1.8,0,0,0,0.2,0,6,2,0,10,18.402,9.053,5.233,871.7,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,1.6,0,0,0,0.4,0,6,2,0,10,18.37,9.011,5.245,868.2,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0.1,0,0,1.14,0,0,0,0.76,0,6,2,0,10,18.365,8.963,5.229,860.8,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,1.5,0,0,0,0.5,0,6,2,0,10,18.362,9,5.234,864.9,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0.08,0,0,0.96,0,0,0,0.96,0,6,2,0,10,18.35,8.936,5.234,858.2,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,1.2,0,0,0,0.8,0,6,2,0,10,18.321,8.958,5.219,856.6,American Mineralogist 58 (1973) 50-59
Ferrosilite,0,0,0,0,0,1,0,0,0,1,0,6,2,0,10,18.31,8.931,5.219,853.5,American Mineralogist 58 (1973) 50-59
Enstatite,0,0,0.1,0,0,0.57,0,0,0,1.33,0,6,2,0,10,18.293,8.879,5.207,845.8,American Mineralogist 58 (1973) 50-59
Enstatite,0,0,0,0,0,0.8,0,0,0,1.2,0,6,2,0,10,18.289,8.911,5.208,848.8,American Mineralogist 58 (1973) 50-59
