mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Liebenbergite,0,0,0,0,0,2,0,4,1,4.724,10.1136,5.9088,282.303,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0,0,2,0,4,1,4.7249,10.1151,5.9095,282.432,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0,0,2,0,4,1,4.726,10.118,5.913,282.746,Pbnm,American Mineralogist 63 (1978) 365-377
Liebenbergite,0,0,0,0.4,0,1.6,0,4,1,4.7267,10.1397,5.9194,283.701,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0.4,0,1.6,0,4,1,4.7276,10.1402,5.9198,283.788,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0,0,2,0,4,1,4.7287,10.1214,5.9153,283.11,Pbnm,Geochemical Journal 2 (1968) 51-59
Liebenbergite,0,0,0,0,0,2,0,4,1,4.7296,10.1209,5.915,283.138,Pbnm,American Mineralogist 72 (1987) 965-972
Liebenbergite,0,0,0,0.4,0,1.6,0,4,1,4.731,10.144,5.9267,284.43,Pbnm,American Mineralogist 86 (2001) 1170-1187
Liebenbergite,0,0,0,0.34,0,1.66,0,4,1,4.7311,10.1797,5.9408,286.116,Pbnm,American Mineralogist 66 (1981) 770-776
Liebenbergite,0,0,0,1,0,1,0,4,1,4.7322,10.1453,5.9309,284.74,Pbnm,American Mineralogist 81 (1996) 1519-1522
Liebenbergite,0,0,0,1,0,1,0,4,1,4.7325,10.1454,5.9313,284.78,Pbnm,American Mineralogist 81 (1996) 1519-1522
Liebenbergite,0,0,0,1,0,1,0,4,1,4.733,10.1452,5.9303,284.757,Pbnm,American Mineralogist 81 (1996) 1519-1522
Liebenbergite,0,0,0,0.5,0,1.5,0,4,1,4.7331,10.1565,5.9285,284.993,Pbnm,American Mineralogist 72 (1987) 965-972
Liebenbergite,0,0,0,0.8,0,1.2,0,4,1,4.7338,10.1723,5.9376,285.917,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0.45,0,1.55,0,4,1,4.7339,10.1583,5.9303,285.178,Pbnm,American Mineralogist 74 (1989) 411-421
Liebenbergite,0,0,0,0,0,2,0,4,1,4.734,10.133,5.922,284.076,Pbnm,Physics and Chemistry of Minerals 28 (2001) 249-257
Liebenbergite,0,0,0,0.8,0,1.2,0,4,1,4.7343,10.1742,5.9381,286.025,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Liebenbergite,0,0,0,0.52,0,1.48,0,4,1,4.7345,10.1539,5.929,285.03,Pbnm,Geochemical Journal 2 (1968) 51-59
Liebenbergite,0,0,0,0.62,0,1.38,0,4,1,4.7345,10.1623,5.9317,285.394,Pbnm,American Mineralogist 74 (1989) 411-421
Liebenbergite,0,0,0,0,0,2,0,4,1,4.7349,10.132,5.9172,283.872,,R120062
Liebenbergite,0,0,0,0.54,0,1.46,0,4,1,4.735,10.1526,5.9278,284.965,Pbnm,American Mineralogist 74 (1989) 411-421
Liebenbergite,0,0,0,0.62,0,1.38,0,4,1,4.7352,10.1612,5.9317,285.406,Pbnm,American Mineralogist 72 (1987) 965-972
Liebenbergite,0,0,0,1,0,1,0,4,1,4.7362,10.1682,5.9401,286.067,Pbnm,American Mineralogist 81 (1996) 1519-1522
Liebenbergite,0,0,0,0.84,0,1.16,0,4,1,4.7366,10.164,5.9322,285.593,Pbnm,American Mineralogist 66 (1981) 770-776
Liebenbergite,0,0,0,0.97,0,1.03,0,4,1,4.7366,10.1716,5.9374,286.057,Pbnm,American Mineralogist 60 (1975) 292-299
Liebenbergite,0,0,0,0.601,0,1.399,0,4,1,4.737,10.1616,5.9337,285.622,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1,0,1,0,4,1,4.73717,10.187,5.9466,286.968,Pbnm,American Mineralogist 86 (2001) 1170-1187
Liebenbergite,0,0,0.5,0,0,1.5,0,4,1,4.738,10.241,5.976,289.967,Pbnm,American Mineralogist 67 (1982) 1212-1217
Liebenbergite,0,0,0,0.98,0,1.02,0,4,1,4.739,10.183,5.943,286.793,Pbnm,American Mineralogist 72 (1987) 965-972
Liebenbergite,0,0,0,0.966,0,1.034,0,4,1,4.7392,10.1939,5.9432,287.122,Pbnm,American Mineralogist 74 (1989) 411-421
Liebenbergite,0,0,0,0.66,0,1.34,0,4,1,4.7393,10.162,5.933,285.738,Pbnm,American Mineralogist 74 (1989) 411-421
Liebenbergite,0,0,0,1,0,1,0,4,1,4.7396,10.187,5.9467,287.12,Pbnm,American Mineralogist 86 (2001) 1170-1187
Liebenbergite,0,0,0,1.001,0,0.999,0,4,1,4.7398,10.1773,5.9443,286.743,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0.24,1.76,0,0,0,4,1,4.74,10.23,5.96,289.002,Pbnm,American Mineralogist 80 (1995) 197-200
Forsterite,0,0,0,1,0,1,0,4,1,4.74016,10.1874,5.94729,287.194,Pbnm,American Mineralogist 86 (2001) 1170-1187
Forsterite,0,0,0.025,1.975,0,0,0,4,1,4.741,10.174,5.997,289.3,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Liebenbergite,0,0,0,0.97,0,1.03,0,4,1,4.7431,10.1765,5.9401,286.718,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.276,0,0.724,0,4,1,4.7437,10.1947,5.9508,287.784,Pbnm,American Mineralogist 72 (1987) 965-972
Forsterite,0,0,0,1.26,0,0.74,0,4,1,4.7444,10.1939,5.9534,287.93,Pbnm,Geochemical Journal 2 (1968) 51-59
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.7447,10.1993,5.9567,288.26,Pbnm,American Mineralogist 72 (1987) 965-972
Forsterite,0,0,0,1.7,0,0.3,0,4,1,4.7448,10.2062,5.9689,289.052,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.745,10.1994,5.9607,288.475,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.383,0,0.617,0,4,1,4.7452,10.1909,5.9583,288.131,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.384,0,0.616,0,4,1,4.7453,10.1926,5.9559,288.069,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.7454,10.1994,5.961,288.514,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.7458,10.1986,5.9563,288.288,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.403,0,0.597,0,4,1,4.7459,10.195,5.9559,288.173,Pbnm,American Mineralogist 74 (1989) 411-421
