mineral name,chemistry,Ba,Ca,K,Mg,Na,Sr,Fe3+,Ti4+,B,Al,Si,O,a,b,c,α,β,γ,volume,P,T,crystal system,space group,citation text,notes
Sanidine,K0.959Na0.035Ba0.005Mg0.049Fe3+0.698Al0.200Ti0.026Si3.025O8,0.01,0,0.96,0.03,0.03,0,0.26,0.02,0,0.7,3,8,8.68,13.14,7.31,90,116,90,747,,,monoclinic,C2/m,American Mineralogist 81 (1996) 229-237,"Locality: Leucite Hills lamproites, Wyoming"
Albite,(Al Si3) Na.71 K.224 Ca.069 O8,0,0.069,0.224,0,0.71,0,0,0.003,0,1.036,2.952,8,8.252,12.936,7.139,92.11,116.32,90.22,682.434,,23 C,triclinic,C1,American Mineralogist 67 (1982) 975-996,"Locality: Mt Gibele, Pantelleria Islands, Italy"
Reedmergnerite,NaBSi3O8,0,0,0,0,1,0,0,0,1,0,3,8,7.914,12.35,6.824,93.52,116.15,90.79,596.9,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS50"
Reedmergnerite,Na (B Si3) O8,0,0,0,0,1,0,0,0,1,0,3,8,7.91,12.336,6.82,93.54,116.13,90.6,595.799,,,triclinic,C1,American Mineralogist 77 (1992) 76-84,
Reedmergnerite,NaBSi3O8,0,0,0,0,1,0,0,0,1,0,3,8,7.851,12.369,6.8122,93.34,116.36,91.81,590.5,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS20"
Reedmergnerite,NaBSi3O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8443,12.373,6.8109,93.35,116.37,91.9,590,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS11"
Reedmergnerite,NaBSi3O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8505,12.365,6.8098,93.35,116.35,91.81,590.1,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS41"
Reedmergnerite,Na1.00B1.00Si3.00O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8437,12.377,6.8083,93.284,116.365,92.043,589.856,,,triclinic,,R060096,"Locality: Dara-i-Pioz, Tadjikistan"
Reedmergnerite,Na B Si3 O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8388,12.373,6.8082,93.324,116.381,92.014,589.191,,,triclinic,C1,American Mineralogist 77 (1992) 76-84,
Reedmergnerite,Na B Si3 O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8386,12.3733,6.8074,93.319,116.368,92.04,589.172,,,triclinic,C1,American Mineralogist 84 (1999) 333-340,
