mineral name,chemistry,Al,Ca,Cr,Fe2+,Fe3+,Mg,Mn,Na,Sc,Ti4+,V,Zr,Si,O,Sum,a,b,c,volume,x,y,z,P,T,crystal system,space group,citation text,notes,ID,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 Al2 Si3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.846,11.846,11.846,1662.322,0.038,0.0447,0.6512, ,25 C,cubic,Ia3d,American Mineralogist 60 (1975) 218-228, ,72,,,,,,,,,,,,,,,,,,,,,,
Grossular,Si3 Al2 Ca3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.8515,11.8515,11.8515,1664.639,0.0376,0.0454,0.6513, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,67,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 Al2 Si3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.847,11.847,11.847,1662.743,0.03823,0.04528,0.65137, ,293 K,cubic,Ia3d,American Mineralogist 82 (1997) 740-747, ,71,,,,,,,,,,,,,,,,,,,,,,
Grossular,Si3 Al2 Ca3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.845,11.845,11.845,1661.901,0.03808,0.04493,0.6514, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-825,"Locality: Asbestos, Quebec, Canada",73,,,,,,,,,,,,,,,,,,,,,,
Grossular,Si3 Al2 (Mg.609 Ca2.391) O12,2,2.391,0,0,0,0.609,0,0,0,0,0,0,3,12,20,11.7817,11.7817,11.7817,1635.4,0.0367,0.046,0.6514, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,81,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 Al2 Si3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.843,11.843,11.843,1661.059,0.03817,0.04559,0.65141, , ,cubic,Ia3d,American Mineralogist 72 (1987) 766-768, ,75,,,,,,,,,,,,,,,,,,,,,,
Grossular,Si3 Al2 (Mg.453 Ca2.547) O12,2,2.547,0,0,0,0.453,0,0,0,0,0,0,3,12,20,11.8063,11.8063,11.8063,1645.665,0.0368,0.0454,0.6515, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,77,,,,,,,,,,,,,,,,,,,,,,
Grossular,O12 Ca3 Al2 Si3,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.85,11.85,11.85,1664.007,0.0383,0.0454,0.65151, ,298 K,cubic,Ia3d,American Mineralogist 87 (2002) 542-549, ,70,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca2.901 Fe.22 Mn.009 Mg.06 Al1.81 Ti.01 Si3 O12,1.81,2.901,0,0.07,0.15,0.06,0.009,0,0,0.01,0,0,3,12,20.01,11.871,11.871,11.871,1672.869,0.0384,0.0457,0.6518, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169,"Locality: Val di Fassa, Italy",56,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 Al2 Si3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.864,11.864,11.864,1669.911,0.038,0.045,0.6518,1 bar, ,cubic,Ia3d,American Mineralogist 63 (1978) 297-303,"Locality: Georgetown, California, USA",59,,,,,,,,,,,,,,,,,,,,,,
Grossular,Si3 Al2 Mg.888 Ca2.106 O12,2,2.106,0,0,0,0.888,0,0,0,0,0,0,3,12,19.994,11.7445,11.7445,11.7445,1619.957,0.0359,0.0463,0.6518, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,84,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca2.85 Sc.44 Al1.86 Si2.85 O12,1.86,2.85,0,0,0,0,0,0,0.44,0,0,0,2.85,12,20,11.883,11.883,11.883,1677.947,0.03803,0.04587,0.65194, , ,cubic,Ia3d,American Mineralogist 91 (2006) 1230-1239,Locality: synthetic,55,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca2.139 Fe.849 Mn.039 Mg.09 Al1.87 Ti.01 Si3 O12,1.87,2.139,0,0.729,0.12,0.09,0.039,0,0,0.01,0,0,3,12,19.997,11.787,11.787,11.787,1637.608,0.0372,0.0462,0.6521, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169,"Locality: Voltri, Liguria, Italy",79,,,,,,,,,,,,,,,,,,,,,,
Spessartine,Al2 Mn3 Si3 O12,2,0,0,0,0,0,3,0,0,0,0,0,3,12,20,11.63,11.63,11.63,1573.038,0.03473,0.04789,0.6521, , ,cubic,Ia3d,Acta Crystallographica B58 (2002) 965-969,"Locality: Elba Isle, Campo, Italy",94,,,,,,,,,,,,,,,,,,,,,,
Spessartine,O12 Mn3 Al2 Si3,2,0,0,0,0,0,3,0,0,0,0,0,3,12,20,11.615,11.615,11.615,1566.959,0.0348,0.0479,0.6523, ,298 K,cubic,Ia3d,American Mineralogist 87 (2002) 542-549, ,97,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Ca1.389 Fe.469 Mn.009 Mg1.14 Al1.99 Si3 O12,1.99,1.389,0,0.469,0,1.14,0.009,0,0,0,0,0,3,12,19.997,11.663,11.663,11.663,1586.466,0.0355,0.0469,0.6524, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169, ,90,,,,,,,,,,,,,,,,,,,,,,
Andradite,Ca1.588 Fe1.001 Mn.691 Mg.006 Al1.698 Ti.015 Si3 O12,1.698,1.588,0,0.731,0.27,0.006,0.691,0,0,0.015,0,0,3,12,19.999,11.764,11.764,11.764,1628.04,0.03693,0.04666,0.65247, , ,cubic,Ia3d,European Journal of Mineralogy 10 (1998) 907-921,"Locality: Okahandja, Namibia",83,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 Al2 Si3 O12,2,3,0,0,0,0,0,0,0,0,0,0,3,12,20,11.619,11.619,11.619,1568.578,0.03491,0.04791,0.6525, ,293 K,cubic,Ia3d,American Mineralogist 82 (1997) 740-747, ,96,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 (Mg2.226 Ca.774) O12,2,0.774,0,0,0,2.226,0,0,0,0,0,0,3,12,20,11.567,11.567,11.567,1547.612,0.034,0.0481,0.6525, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,106,,,,,,,,,,,,,,,,,,,,,,
Uvarovite,Ca3.00(Cr1.15Al0.82Ti0.03)Σ=2((Si0.99Al0.01)Σ=1O4)3,0.85,3,1.15,0,0,0,0,0,0,0.03,0,0,2.97,12,20,11.9204,11.9204,11.9204,1693.84,0.0388,0.0466,0.6526, , ,cubic, ,R060477,"Locality: Saranovskiy mine, Sarany, Ural Mountains, Russia",50,,,,,,,,,,,,,,,,,,,,,,
Spessartine,Si3 Al2 (Mn2.61 Fe.39) O12,2,0,0,0.39,0,0,2.61,0,0,0,0,0,3,12,20,11.612,11.612,11.612,1565.745,0.0351,0.04766,0.65261, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-825,"Locality: Minas Gerais, Brazil",98,,,,,,,,,,,,,,,,,,,,,,
