mineral name,chemistry,Al,Ca,Fe2+,Fe3+,Mg,Mn,O,Si,Ti4+,Sum,a,b,c,volume,P,T,crystal system,space group,citation text,notes
Donpeacorite,(Mn2+0.58Mg0.40Ca0.03)Σ=1Mg1.00(Si1.00O3)2,0,0.02,0,0,1.4,0.58,6,2,0,10,18.4,8.882,5.228,854.406,,,orthorhombic,,R060646,"Locality: Balmat, Balmat-Edwards Zinc District, St. Lawrence County, New York, USA"
Enstatite,(Mg0.84Fe0.15Al0.01)Si1.00O3,0.02,0,0.3,0,1.68,0,6,2,0,10,18.2566,8.8467,5.1917,838.515,,,orthorhombic,,R040093,"Locality: Castle Rock, Pennsylvania, USA"
Enstatite,(Fe.292 Mg.709) Si O3,0,0,0.584,0,1.418,0,6,2,0,10.002,18.281,8.8732,5.207,844.633,,,orthorhombic,Pbca,American Mineralogist 98 (2013) 1526-1534,"Locality: Wilson Terrane, North Victoria Land, Antarctica"
Enstatite,Mg1.66 Fe.24 Ca.012 Al.14 Si1.94 O6,0.14,0.012,0.24,0,1.66,0,6,1.94,0,9.992,18.231,8.8095,5.1873,833.111,0.00 GPa,,orthorhombic,Pbca,Physics and Chemistry of Minerals 24 (1997) 301-310,
Donpeacorite,Mg1.433 Mn.541 Ti.002 Ca.024 Si1.997 Al.003 O6,0.003,0.024,0,0,1.433,0.541,6,1.997,0.002,10,18.3668,8.8725,5.2289,852.099,,,orthorhombic,Pbca,American Mineralogist 90 (2005) 155-161,
Enstatite,(Mg0.85Fe2+0.13Fe3+0.01Mn0.01)Σ=1(Si0.99Al0.01)Σ=1O3,0.02,0,0.26,0.02,1.7,0.02,6,1.98,0,10,18.266,8.8505,5.1964,840.067,,,orthorhombic,,R060744,"Locality: Orissa, India"
Enstatite,(Mg.59 Fe.41) Si O3,0,0,0.82,0,1.18,0,6,2,0,10,18.2974,8.904,5.2092,848.683,0.00 GPa,,orthorhombic,Pbca,Physics and Chemistry of Minerals 24 (1997) 301-310,
Enstatite,(Mg0.6Fe2+0.4)SiO3,0,0,0.8,0,1.2,0,6,2,0,10,18.289,8.911,5.208,848.8,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Enstatite,(Fe.296 Mg.704) Si O3,0,0,0.592,0,1.408,0,6,2,0,10,18.3022,8.8816,5.2082,846.608,,,orthorhombic,Pbca,American Mineralogist 98 (2013) 1526-1534,"Locality: Wilson Terrane, North Victoria Land, Antarctica"
Enstatite,(Mg.751 Fe.249) Si O3,0,0,0.498,0,1.502,0,6,2,0,10,18.2747,8.8729,5.1988,842.983,,296 K,orthorhombic,Pbca,American Mineralogist 80 (1995) 9-20,
Enstatite,(Mg0.76Fe2+0.19Ca0.05)SiO3,0,0.1,0.38,0,1.52,0,6,2,0,10,18.257,8.858,5.195,840.2,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Enstatite,(Mg0.8Fe2+0.2)SiO3,0,0,0.4,0,1.6,0,6,2,0,10,18.251,8.847,5.195,838.8,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Enstatite,(Mg0.86Fe0.14)Σ=1Si1.00O3,0,0,0.28,0,1.72,0,6,2,0,10,18.2539,8.8441,5.192,838.193,,,orthorhombic,,R070418,Locality: India
