mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Omphacite,Si4 Al.868 Fe.317 Mg.815 (Ca1.03 Na.97) O12,0.434,0,0.515,0,0,0,0.4075,0,0.485,0,6,0,2,0,0.1085,0.05,0,0,0,10,9.585,8.776,5.26,106.8,423.576,,,monoclinic,P2/n,American Mineralogist 60 (1975) 634-641,
Omphacite,(Fe.475 Al.525) (Ca.492 Na.508) Si2 O6,0.525,0,0.492,0,0,0,0,0,0.508,0,6,0,2,0,0.475,0,0,0,0,10,9.622,8.826,5.279,106.92,428.906,,,monoclinic,P2/n,The Canadian Mineralogist 13 (1975) 62-67,
Omphacite,(Fe.518 Al.481) (Ca.466 Na.534) Si2 O6,0.481,0,0.466,0,0,0,0,0,0.534,0,6,0,2,0,0.458,0.06,0,0,0,10.00,9.622,8.826,5.279,106.92,428.906,,,monoclinic,P2/n,The Canadian Mineralogist 13 (1975) 62-67,
Pigeonite,(Fe1.50Ca0.50)Si2O6,0,0,0.5,0,0,0,0,0,0,0,6,0,2,0,1.5,0,0,0,0,10,9.781,9.072,5.232,106.3,445.6,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,25"
Clinoenstatite,(Mg1.212Ca0.788)Si2O6,0,0,0.788,0,0,0,1.212,0,0,0,6,0,2,0,0,0,0,0,0,10,9.731,8.916,5.25,106.39,436.5,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,39.4"
Pigeonite,(Fe1.80Ca0.20)Si2O6,0,0,0.2,0,0,0,0,0,0,0,6,0,2,0,1.8,0,0,0,0,10,9.765,9.081,5.231,106.69,444.3,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,20"
Clinoenstatite,(Mg1.314Ca0.686)Si2O6,0,0,0.686,0,0,0,1.314,0,0,0,6,0,2,0,0,0,0,0,0,10,9.723,8.908,5.25,106.78,435,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,34.3"
Clinoenstatite,(Mg1.416Ca0.584)Si2O6,0,0,0.584,0,0,0,1.416,0,0,0,6,0,2,0,0,0,0,0,0,10,9.714,8.903,5.25,107.27,433.8,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,29.2"
Clinoferrosilite,(Fe1.80Ca0.20)Si2O6,0,0,0.2,0,0,0,0,0,0,0,6,0,2,0,1.8,0,0,0,0,10,9.745,9.083,5.225,107.3,441.5,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,10"
Clinoferrosilite,Si2 Fe1.7 Ca.3 O6,0,0,0.3,0,0,0,0,0,0,0,6,0,2,0,1.7,0,0,0,0,10,9.779,9.088,5.258,107.39,445.928,,,monoclinic,P21/c,American Mineralogist 60 (1975) 423-434,
Enstatite,Ca.4 Mg1.6 Si2 O6,0,0,0.4,0,0,0,1.6,0,0,0,6,0,2,0,0,0,0,0,0,10,9.7042,8.8805,5.2423,108.084,429.455,,,monoclinic,P21/c,The Canadian Mineralogist 43 (2005) 1411-1421,Locality: synthetic
Clinoferrosilite,(Fe1.90Ca0.10)Si2O6,0,0,0.1,0,0,0,0,0,0,0,6,0,2,0,1.9,0,0,0,0,10,9.724,9.092,5.226,108.14,439.1,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,5"
Clinoenstatite,Mg2Si2O6,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,10,9.59,8.812,5.159,108.15,414.3,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,0"
Pigeonite,(Mg0.27Fe1.53Ca0.20)Si2O6,0,0,0.2,0,0,0,0.27,0,0,0,6,0,2,0,1.53,0,0,0,0,10,9.74,9.046,5.259,108.2,440.2,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 85,10"
Pigeonite,(Mg1.12Fe0.48Ca0.40)Si2O6,0,0,0.4,0,0,0,1.12,0,0,0,6,0,2,0,0.48,0,0,0,0,10,9.707,8.919,5.249,108.22,431.6,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 30,20"
Enstatite,Ca.23 Mg1.77 Si2 O6,0,0,0.23,0,0,0,1.77,0,0,0,6,0,2,0,0,0,0,0,0,10,9.69,8.862,5.229,108.31,426.295,,,monoclinic,P21/c,European Journal of Mineralogy 14 (2002) 549-555,
Clinoenstatite,O6 Si2 Mg1.85 Ca.15,0,0,0.15,0,0,0,1.85,0,0,0,6,0,2,0,0,0,0,0,0,10,9.651,8.846,5.202,108.34,421.551,,25 C,monoclinic,P21/c,American Mineralogist 87 (2002) 648-657,Locality: synthetic
Enstatite,Ca.2 Mg1.8 Si2 O6,0,0,0.2,0,0,0,1.8,0,0,0,6,0,2,0,0,0,0,0,0,10,9.6655,8.8534,5.2138,108.349,423.474,,,monoclinic,P21/c,The Canadian Mineralogist 43 (2005) 1411-1421,Locality: synthetic
Clinoenstatite,Mg Si O3,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,10,9.606,8.8131,5.17,108.35,415.429,,,monoclinic,P21/c,Physics and Chemistry of Minerals 10 (1984) 217-229,
Clinoenstatite,Mg2Si2O6,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,10,9.6076,8.8152,5.1702,108.35,415.61,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,En100 - XFs 0.000 Synthetic
Pigeonite,Mg1.85 Ca.15 Si2 O6,0,0,0.15,0,0,0,1.85,0,0,0,6,0,2,0,0,0,0,0,0,10,9.646,8.842,5.201,108.35,421.037,0 GPa,,monoclinic,P21/c,American Mineralogist 89 (2004) 189-196,
Enstatite,Ca.15 Mg1.85 Si2 O6,0,0,0.15,0,0,0,1.85,0,0,0,6,0,2,0,0,0,0,0,0,10,9.654,8.845,5.203,108.37,421.642,,,monoclinic,P21/c,European Journal of Mineralogy 14 (2002) 549-555,
Clinoenstatite,O6 Si2 Mg1.85 Ca.15,0,0,0.15,0,0,0,1.85,0,0,0,6,0,2,0,0,0,0,0,0,10,9.651,8.846,5.202,108.38,421.453,,25 C,monoclinic,P21/c,American Mineralogist 87 (2002) 648-657,Locality: synthetic
Pigeonite,Mg1.85 Ca.15 Si2 O6,0,0,0.15,0,0,0,1.85,0,0,0,6,0,2,0,0,0,0,0,0,10,9.651,8.846,5.252,108.38,425.504,,,monoclinic,P21/c,European Journal of Mineralogy 15 (2003) 903-911,
Pigeonite,(Mg0.45Fe1.35Ca0.20)Si2O6,0,0,0.2,0,0,0,0.45,0,0,0,6,0,2,0,1.35,0,0,0,0,10,9.732,9.015,5.258,108.38,437.7,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 75,10"
Clinoenstatite,(Mg1.812Ca0.188)Si2O6,0,0,0.188,0,0,0,1.812,0,0,0,6,0,2,0,0,0,0,0,0,10,9.653,8.848,5.202,108.41,421.5,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,9.4"
Clinoferrosilite,Fe2Si2O6,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,10,9.709,9.087,5.228,108.43,437.6,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,0"
Clinoenstatite,(Mg1.78Fe0.22(2))Si2O6,0,0,0,0,0,0,1.78,0,0,0,6,0,2,0,0.22,0,0,0,0,10,9.6194,8.8396,5.1793,108.438,417.8,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic UHP-1037 - XFs 0.108
Pigeonite,(Mg0.460Fe2+0.414Ca0.098Mn0.013Fe3+0.008Na0.002)(Si0.985Al0.016Ti0.005Cr0.001)O3,0.032,0,0.196,0.002,0,0,0.92,0.026,0.004,0,6,0,1.97,0,0.844,0,0,0.01,0,10.00,9.7138,8.9404,5.2495,108.44,432.49,,,monoclinic,P21/c,Mineralogy and Petrology 77 (2003) 161-176,"Sample BTS308-3 from Paranà, Brazil"
Clinoenstatite,(Mg1.86Ca0.14)Si2O6,0,0,0.14,0,0,0,1.86,0,0,0,6,0,2,0,0,0,0,0,0,10,9.65,8.84,5.18,108.45,419.2,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 0,7"
Pigeonite,Mg.92 Fe.847 Ca.191 Mn.029 Na.003 Ti.01 Si1.984 Al.016 O6,0.016,0,0.191,0,0,0,0.92,0.029,0.003,0,6,0,1.984,0,0.847,0,0,0.01,0,10,9.7071,8.9435,5.2481,108.483,432.114,,,monoclinic,P21/c,American Mineralogist 90 (2005) 1816-1823,"Locality: Parana, Brazil"
Pigeonite,Mg.911 Fe.854 Al.033 Mn.027 Ti.01 Na.003 Ca.192 Si1.97 O6,0.033,0,0.192,0,0,0,0.911,0.027,0.003,0,6,0,1.97,0,0.854,0,0,0.01,0,10,9.716,8.948,5.25,108.49,432.867,,,monoclinic,P21/c,European Journal of Mineralogy 15 (2003) 903-911,
Pigeonite,Fe1.008 Mg.871 Ca.121 (Si1.98 Al.02) O6,0.02,0,0.121,0,0,0,0.871,0,0,0,6,0,1.98,0,0.99,0.018,0,0,0,10,9.749,8.937,5.246,108.49,433.473,0.0001 GPa,,monoclinic,P21/c,American Mineralogist 95 (2010) 300-311,"Locality: Parana, Brazil"
Pigeonite,(Mg.463 Fe.416 Mn.014 Ca.107) Si O3,0,0,0.214,0,0,0,0.926,0.028,0,0,6,0,2,0,0.832,0,0,0,0,10,9.719,8.947,5.251,108.49,433.035,,25 C,monoclinic,P21/c,Physics and Chemistry of Minerals 29 (2002) 331-340,
Pigeonite,(Mg0.72Fe1.08Ca0.20)Si2O6,0,0,0.2,0,0,0,0.72,0,0,0,6,0,2,0,1.08,0,0,0,0,10,9.712,8.978,5.244,108.49,433.7,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 60,10"
Pigeonite,Fe1.008 Mg.871 Ca.121 (Si1.98 Al.02) O6,0.02,0,0.121,0,0,0,0.871,0,0,0,6,0,1.98,0,0.99,0.018,0,0,0,10,9.722,8.941,5.247,108.5,432.523,0.047 GPa,,monoclinic,P21/c,American Mineralogist 95 (2010) 300-311,"Locality: Parana, Brazil"
Pigeonite,Mg.919 Fe.848 Ca.191 Mn.029 Na.003 Ti.01 Si1.984 Al.016 O6,0.016,0,0.191,0,0,0,0.919,0.029,0.003,0,6,0,1.984,0,0.848,0,0,0.01,0,10,9.706,8.94,5.246,108.504,431.671,,,monoclinic,P21/c,American Mineralogist 90 (2005) 1816-1823,"Locality: Parana, Brazil"
Pigeonite,(Mg1.26Fe0.54Ca0.20)Si2O6,0,0,0.2,0,0,0,1.26,0,0,0,6,0,2,0,0.54,0,0,0,0,10,9.684,8.907,5.227,108.51,427.6,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 30,10"
Kanoite,Mg1.131 Mn.799 Ca.07 Si2 O6,0,0,0.07,0,0,0,1.131,0.799,0,0,6,0,2,0,0,0,0,0,0,10,9.725,8.876,5.263,108.53,430.745,,,monoclinic,P21/c,European Journal of Mineralogy 8 (1996) 251-261,Locality: manganiferous quartzite in the United Arab Emirates
