source,a,sig_a,b,sig_b,c,sig_c,alpha,sig_alpha,beta,sig_beta,gamma,sig_gamma,V,sig_V,Ca_calc,Na_calc,Ca_calc_sig,Na_calc_sig,sum
RK,8.168,0.006,12.863,0.006,7.108,0.004,93.46,0.05,116.22,0.03,90.12,0.03,668.4,0.5,0.484999141,0.505563963,0.041713659,0.041520629,0.990563104
JK,8.162,0.005,12.86,0.008,7.108,0.005,93.47,0.05,116.29,0.03,90.1,0.04,667.3,0.8,0.404094935,0.59522325,0.041498381,0.040360662,0.999318184
CB,8.162,0.007,12.86,0.008,7.112,0.007,93.42,0.053,116.337,0.037,90.103,0.035,667.503,0.9,0.32462518,0.668804701,0.051985026,0.049469679,0.993429881
WJ,8.172,0.04,12.912,0.081,7.108,0.049,94.345,0.977,116.271,0.45,89.902,0.606,670.09,7,0.136321244,0.828104872,0.680003997,0.603840602,0.964426117
CH,8.166,0.007,12.859,0.007,7.111,0.004,93.44,0.06,116.31,0.04,90.16,0.04,667.8,0.5,0.384917496,0.605419812,0.044546993,0.044827204,0.990337308
MJ2,8.164,0.004,12.859,0.003,7.11,0.002,93.5,0.04,116.28,0.01,90.1,0.03,667.8,0.4,0.406507026,0.586529536,0.02770746,0.029127995,0.993036562
TP,8.157,0.003,12.858,0.006,7.111,0.002,93.47,0.02,116.28,0.02,90.08,0.02,667.2,0.4,0.357226847,0.640259705,0.027552023,0.028819152,0.997486553
BK,8.155,0.003,12.862,0.004,7.106,0.004,93.32,0.02,116.28,0.02,90.1,0.02,666.9,0.7,0.3863461,0.623336805,0.031533084,0.03101267,1.009682905
BS,8.159,0.008,12.875,0.008,7.103,0.007,93.47,0.06,116.09,0.04,89.97,0.05,668.6,1,0.518696219,0.480696009,0.054903741,0.052457487,0.999392228
GH,8.165,0.007,12.891,0.009,7.108,0.007,93.24,0.07,116.1,0.04,90.06,0.04,670.5,1,0.376617056,0.596883373,0.061088883,0.0572204,0.973500429
GB,8.181,0.007,12.868,0.007,7.107,0.006,93.49,0.05,116.19,0.04,90.06,0.03,669.8,0,0.633452341,0.356182667,0.060109221,0.057023102,0.989635008
LB,8.166,0.011,12.891,0.011,7.111,0.009,93.26,0.1,116.21,0.05,90.04,0.06,670.2,1.2,0.272913731,0.700454362,0.082115043,0.077126275,0.973368093
OD,8.163,0.005,12.852,0.007,7.11,0.004,93.52,0.04,116.31,0.04,90.05,0.05,667.056,0.704,0.407318524,0.589399491,0.037890708,0.038120491,0.996718014
OK,8.16,0.008,12.88,0.007,7.108,0.006,93.59,0.07,116.17,0.04,89.91,0.06,668.9,0.9,0.384083982,0.607332798,0.051754564,0.050274287,0.991416779
MB,8.161,0.007,12.853,0.01,7.112,0.004,93.38,0.06,116.29,0.04,90.1,0.02,667.335,0.9,0.378701788,0.61316795,0.043107942,0.043788787,0.991869738
SB,8.162,0.009,12.875,0.019,7.11,0.007,93.41,0.16,116.22,0.07,90.02,0.09,668.815,1.4,0.360506793,0.627855553,0.083007637,0.078623191,0.988362346
QL,8.162,0.009,12.875,0.018,7.11,0.007,93.41,0.15,116.22,0.06,90.02,0.09,668.815,1.4,0.360506793,0.627855553,0.079559908,0.075305918,0.988362346
OG,8.169,0.006,12.866,0.012,7.107,0.004,93.418,0.023,116.229,0.035,90.169,0.05,668.517,0.902,0.481282058,0.510054903,0.050554803,0.049429633,0.99133696
